CountryCode,Region,IncomeGroup,SpecialNotes,TableName
BDI,Sub-Saharan Africa,Low income,,Burundi
BFA,Sub-Saharan Africa,Low income,,Burkina Faso
CAF,Sub-Saharan Africa,Low income,,Central African Republic
COD,Sub-Saharan Africa,Low income,,"Congo, Dem. Rep."
ERI,Sub-Saharan Africa,Low income,,Eritrea
ETH,Sub-Saharan Africa,Low income,Fiscal year end: July 7; reporting period for national accounts data: FY.,Ethiopia
GIN,Sub-Saharan Africa,Low income,,Guinea
GMB,Sub-Saharan Africa,Low income,,"Gambia, The"
GNB,Sub-Saharan Africa,Low income,,Guinea-Bissau
LBR,Sub-Saharan Africa,Low income,Pre-2000 data will be revised further for consistency and quality purpose.,Liberia
MDG,Sub-Saharan Africa,Low income,,Madagascar
MLI,Sub-Saharan Africa,Low income,,Mali
MOZ,Sub-Saharan Africa,Low income,,Mozambique
MWI,Sub-Saharan Africa,Low income,,Malawi
NER,Sub-Saharan Africa,Low income,,Niger
RWA,Sub-Saharan Africa,Low income,,Rwanda
SDN,Sub-Saharan Africa,Low income,,Sudan
SLE,Sub-Saharan Africa,Low income,,Sierra Leone
SOM,Sub-Saharan Africa,Low income,,Somalia
SSD,Sub-Saharan Africa,Low income,Fiscal year end: June 30; reporting period for national accounts data: FY.,South Sudan
TCD,Sub-Saharan Africa,Low income,,Chad
TGO,Sub-Saharan Africa,Low income,,Togo
UGA,Sub-Saharan Africa,Low income,Fiscal year end: June 30; reporting period for national accounts data: FY.,Uganda
YEM,Middle East & North Africa,Low income,,"Yemen, Rep."
SYR,Middle East & North Africa,Low income,,Syrian Arab Republic
PRK,East Asia & Pacific,Low income,,"Korea, Dem. People's Rep."
